variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_appendixF-from_last_year,matching
ta,area: point time: point,alevel site time1,ta_tpt-l-hxys-x,ta_tpt-l-hxys-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: mean time: point,longitude latitude time1 height2m,tas_tpt-h02-hxy-x,tas_tpt-h2m-hxy-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: mean time: point,longitude latitude time1 height2m,tas_tpt-h02-hxy-x,tas_tpt-h2m-hxy-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: time: mean where ice_sheet, time height2m,tas_tavg-h02-hm-is,tas_tavg-h2m-hm-is,False
tas,area: time: mean where ice_sheet, time height2m,tas_tavg-h02-hm-is,tas_tavg-h2m-hm-is,False
tas,area: mean time: point,longitude latitude time1 height2m,tas_tpt-h02-hxy-x,tas_tpt-h2m-hxy-u,False
tas,area: point time: point,site time1 height2m,tas_tpt-h02-hxys-x,tas_tpt-h2m-hxys-u,False
tas,area: time: mean where ice_sheet,longitude latitude time height2m,tas_tavg-h02-hxy-is,tas_tavg-h2m-hxy-is,False
tas,area: time: mean where sector,longitude latitude landUse time height2m,tas_tavg-h02-hxy-lus,tas_tavg-h2m-hxy-lus,False
tasmax,area: mean time: maximum,longitude latitude time height2m,tasmax_tstat-h02-hxy-x,tasmax_tstat-h2m-hxy-u,False
tasmax,area: mean time: maximum within days time: mean over days,longitude latitude time height2m,tasmax_tstat-h02-hxy-x,tasmax_tstat-h2m-hxy-u,False
tasmax,area: mean where crops time: maximum,longitude latitude time height2m,tasmax_tstat-h02-hxy-crp,tasmax_tstat-h2m-hxy-crp,False
tasmax,area: mean where crops time: maximum within days time: mean over days,longitude latitude time height2m,tasmax_tstat-h02-hxy-crp,tasmax_tstat-h2m-hxy-crp,False
tasmin,area: mean time: minimum,longitude latitude time height2m,tasmin_tstat-h02-hxy-x,tasmin_tstat-h2m-hxy-u,False
tasmin,area: mean time: minimum within days time: mean over days,longitude latitude time height2m,tasmin_tstat-h02-hxy-x,tasmin_tstat-h2m-hxy-u,False
tasmin,area: mean where crops time: minimum,longitude latitude time height2m,tasmin_tstat-h02-hxy-crp,tasmin_tstat-h2m-hxy-crp,False
tasmin,area: mean where crops time: minimum within days time: mean over days,longitude latitude time height2m,tasmin_tstat-h02-hxy-crp,tasmin_tstat-h2m-hxy-crp,False
ttop,area: time: mean where cloud,longitude latitude time,ttop_tavg-z0-hxy-cl,ttop_tavg-u-hxy-cl,False
baresoilFrac,area: time: mean,longitude latitude time typebare,baresoilFrac_tavg-z0-hxy-x,baresoilFrac_tavg-u-hxy-u,False
baresoilFrac,area: time: mean,longitude latitude time typebare,baresoilFrac_tavg-z0-hxy-x,baresoilFrac_tavg-u-hxy-u,False
burntFractionAll,area: time: mean,longitude latitude time typeburnt,burntFractionAll_tavg-z0-hxy-x,burntFractionAll_tavg-u-hxy-u,False
c3PftFrac,area: time: mean,longitude latitude time typec3pft,c3PftFrac_tavg-z0-hxy-x,c3PftFrac_tavg-u-hxy-u,False
c4PftFrac,area: time: mean,longitude latitude time typec4pft,c4PftFrac_tavg-z0-hxy-x,c4PftFrac_tavg-u-hxy-u,False
cropFrac,area: time: mean,longitude latitude time typecrop,cropFrac_tavg-z0-hxy-x,cropFrac_tavg-u-hxy-u,False
cropFrac,area: time: mean,longitude latitude time typecrop,cropFrac_tavg-z0-hxy-x,cropFrac_tavg-u-hxy-u,False
cropFracC3,area: time: mean,longitude latitude time typec3crop,cropFracC3_tavg-z0-hxy-x,cropFracC3_tavg-u-hxy-u,False
cropFracC4,area: time: mean,longitude latitude time typec4crop,cropFracC4_tavg-z0-hxy-x,cropFracC4_tavg-u-hxy-u,False
fracInLut,area: mean time: sum,longitude latitude landUse time,fracInLut_tsum-z0-hxy-x,fracInLut_tsum-u-hxy-u,False
fracLut,area: time: mean,longitude latitude landUse time,fracLut_tavg-z0-hxy-x,fracLut_tavg-u-hxy-u,False
fracLut,area: mean time: point,longitude latitude landUse time1,fracLut_tpt-z0-hxy-x,fracLut_tpt-u-hxy-u,False
fracOutLut,area: mean time: sum,longitude latitude landUse time,fracOutLut_tsum-z0-hxy-x,fracOutLut_tsum-u-hxy-u,False
grassFrac,area: time: mean,longitude latitude time typenatgr,grassFrac_tavg-z0-hxy-x,grassFrac_tavg-u-hxy-u,False
grassFrac,area: time: mean,longitude latitude time typenatgr,grassFrac_tavg-z0-hxy-x,grassFrac_tavg-u-hxy-u,False
grassFracC3,area: time: mean,longitude latitude time typec3natg,grassFracC3_tavg-z0-hxy-x,grassFracC3_tavg-u-hxy-u,False
grassFracC4,area: time: mean,longitude latitude time typec4natg,grassFracC4_tavg-z0-hxy-x,grassFracC4_tavg-u-hxy-u,False
landCoverFrac,area: time: mean,longitude latitude vegtype time,landCoverFrac_tavg-z0-hxy-x,landCoverFrac_tavg-u-hxy-u,False
nwdFrac,area: time: mean,longitude latitude time typenwd,nwdFrac_tavg-z0-hxy-x,nwdFrac_tavg-u-hxy-u,False
pastureFrac,area: time: mean,longitude latitude time typepasture,pastureFrac_tavg-z0-hxy-x,pastureFrac_tavg-u-hxy-u,False
pastureFracC3,area: time: mean,longitude latitude time typec3pastures,pastureFracC3_tavg-z0-hxy-x,pastureFracC3_tavg-u-hxy-u,False
pastureFracC4,area: time: mean,longitude latitude time typec4pastures,pastureFracC4_tavg-z0-hxy-x,pastureFracC4_tavg-u-hxy-u,False
residualFrac,area: time: mean,longitude latitude time typeresidual,residualFrac_tavg-z0-hxy-x,residualFrac_tavg-u-hxy-u,False
residualFrac,area: time: mean,longitude latitude time typeresidual,residualFrac_tavg-z0-hxy-x,residualFrac_tavg-u-hxy-u,False
shrubFrac,area: time: mean,longitude latitude time typeshrub,shrubFrac_tavg-z0-hxy-x,shrubFrac_tavg-u-hxy-u,False
shrubFrac,area: time: mean,longitude latitude time typeshrub,shrubFrac_tavg-z0-hxy-x,shrubFrac_tavg-u-hxy-u,False
simpconc,area: time: mean ,longitude latitude time typemp,simpconc_tavg-z0-hxy-x,simpconc_tavg-u-hxy-u,False
sirdgconc,area: time: mean ,longitude latitude time typesirdg,sirdgconc_tavg-z0-hxy-x,sirdgconc_tavg-u-hxy-u,False
treeFrac,area: time: mean,longitude latitude time typetree,treeFrac_tavg-z0-hxy-x,treeFrac_tavg-u-hxy-u,False
treeFrac,area: time: mean,longitude latitude time typetree,treeFrac_tavg-z0-hxy-x,treeFrac_tavg-u-hxy-u,False
treeFracBdlDcd,area: time: mean,longitude latitude time typetreebd,treeFracBdlDcd_tavg-z0-hxy-x,treeFracBdlDcd_tavg-u-hxy-u,False
treeFracBdlEvg,area: time: mean,longitude latitude time typetreebe,treeFracBdlEvg_tavg-z0-hxy-x,treeFracBdlEvg_tavg-u-hxy-u,False
treeFracNdlDcd,area: time: mean,longitude latitude time typetreend,treeFracNdlDcd_tavg-z0-hxy-x,treeFracNdlDcd_tavg-u-hxy-u,False
treeFracNdlEvg,area: time: mean,longitude latitude time typetreene,treeFracNdlEvg_tavg-z0-hxy-x,treeFracNdlEvg_tavg-u-hxy-u,False
treeFracPrimDec,area: time: mean,longitude latitude time typepdec,treeFracPrimDec_tavg-z0-hxy-x,treeFracPrimDec_tavg-u-hxy-u,False
treeFracPrimEver,area: time: mean,longitude latitude time typepever,treeFracPrimEver_tavg-z0-hxy-x,treeFracPrimEver_tavg-u-hxy-u,False
treeFracSecDec,area: time: mean,longitude latitude time typesdec,treeFracSecDec_tavg-z0-hxy-x,treeFracSecDec_tavg-u-hxy-u,False
treeFracSecEver,area: time: mean,longitude latitude time typesever,treeFracSecEver_tavg-z0-hxy-x,treeFracSecEver_tavg-u-hxy-u,False
vegFrac,area: time: mean,longitude latitude time typeveg,vegFrac_tavg-z0-hxy-x,vegFrac_tavg-u-hxy-u,False
vegFrac,area: time: mean,longitude latitude time typeveg,vegFrac_tavg-z0-hxy-x,vegFrac_tavg-u-hxy-u,False
wetlandFrac,area: time: mean,longitude latitude time typewetla,wetlandFrac_tavg-z0-hxy-x,wetlandFrac_tavg-u-hxy-u,False
aerasymbnd,area: mean time: point,longitude latitude alevel spectband time1,aerasymbnd_tpt-l-hxy-x,aerasymbnd_tpt-l-hxy-u,False
abs550aer,area: time: mean,longitude latitude time lambda550nm,abs550aer_tavg-z0-hxy-x,abs550aer_tavg-u-hxy-u,False
aeroptbnd,area: mean time: point,longitude latitude alevel spectband time1,aeroptbnd_tpt-l-hxy-x,aeroptbnd_tpt-l-hxy-u,False
zmla,area: time: mean,longitude latitude time,zmla_tavg-z0-hxy-x,zmla_tavg-u-hxy-u,False
zmla,area: time: mean,longitude latitude time,zmla_tavg-z0-hxy-x,zmla_tavg-u-hxy-u,False
zmla,area: mean time: point,longitude latitude time1,zmla_tpt-z0-hxy-x,zmla_tpt-u-hxy-u,False
zmlamax,area: mean time: maximum,longitude latitude time,zmlamax_tstat-z0-hxy-x,zmlamax_tstat-u-hxy-u,False
zmlamin,area: mean time: minimum,longitude latitude time,zmlamin_tstat-z0-hxy-x,zmlamin_tstat-u-hxy-u,False
zmla,area: time: mean,longitude latitude time,zmla_tavg-z0-hxy-x,zmla_tavg-u-hxy-u,False
mcd,area: time: mean,longitude latitude alevhalf time,mcd_tavg-l-hxy-x,mcd_tavg-l-hxy-u,False
xgwdparam,area: time: mean,longitude latitude alevel time,xgwdparam_tavg-l-hxy-x,xgwdparam_tavg-l-hxy-u,False
xgwdparam,longitude: time: mean where air,latitude plev39 time,xgwdparam_tavg-p39-hy-air,xgwdparam_tavg-p39-hy-air,True
edt,area: time: mean,longitude latitude alevel time,edt_tavg-l-hxy-x,edt_tavg-l-hxy-u,False
edt,area: point time: point,alevel site time1,edt_tpt-l-hxys-x,edt_tpt-l-hxys-u,False
loadnh4,area: time: mean,longitude latitude time,loadnh4_tavg-z0-hxy-x,loadnh4_tavg-u-hxy-u,False
clwvi,area: time: mean,longitude latitude time,clwvi_tavg-z0-hxy-x,clwvi_tavg-u-hxy-u,False
clwvi,area: mean time: point,longitude latitude time1,clwvi_tpt-z0-hxy-x,clwvi_tpt-u-hxy-u,False
clwvi,area: time: mean,longitude latitude time,clwvi_tavg-z0-hxy-x,clwvi_tavg-u-hxy-u,False
clwvi,area: time: mean,longitude latitude time,clwvi_tavg-z0-hxy-x,clwvi_tavg-u-hxy-u,False
clwvi,area: point time: point,site time1,clwvi_tpt-z0-hxys-x,clwvi_tpt-u-hxys-u,False
clivi,area: time: mean,longitude latitude time,clivi_tavg-z0-hxy-x,clivi_tavg-u-hxy-u,False
clivi,area: mean time: point,longitude latitude time1,clivi_tpt-z0-hxy-x,clivi_tpt-u-hxy-u,False
clivi,area: time: mean,longitude latitude time,clivi_tavg-z0-hxy-x,clivi_tavg-u-hxy-u,False
clivi,area: time: mean,longitude latitude time,clivi_tavg-z0-hxy-x,clivi_tavg-u-hxy-u,False
clivi,area: point time: point,site time1,clivi_tpt-z0-hxys-x,clivi_tpt-u-hxys-u,False
lwp,area: time: mean,longitude latitude time,lwp_tavg-z0-hxy-x,lwp_tavg-u-hxy-u,False
clwvic,area: time: mean,longitude latitude time,clwvic_tavg-z0-hxy-x,clwvic_tavg-u-hxy-u,False
clwvic,area: time: mean,longitude latitude time,clwvic_tavg-z0-hxy-x,clwvic_tavg-u-hxy-u,False
clivic,area: time: mean,longitude latitude time,clivic_tavg-z0-hxy-x,clivic_tavg-u-hxy-u,False
loaddust,area: time: mean,longitude latitude time,loaddust_tavg-z0-hxy-x,loaddust_tavg-u-hxy-u,False
loaddust,area: time: mean,longitude latitude time,loaddust_tavg-z0-hxy-x,loaddust_tavg-u-hxy-u,False
loadbc,area: time: mean,longitude latitude time,loadbc_tavg-z0-hxy-x,loadbc_tavg-u-hxy-u,False
loadno3,area: time: mean,longitude latitude time,loadno3_tavg-z0-hxy-x,loadno3_tavg-u-hxy-u,False
loadoa,area: time: mean,longitude latitude time,loadoa_tavg-z0-hxy-x,loadoa_tavg-u-hxy-u,False
loadpoa,area: time: mean,longitude latitude time,loadpoa_tavg-z0-hxy-x,loadpoa_tavg-u-hxy-u,False
loadss,area: time: mean,longitude latitude time,loadss_tavg-z0-hxy-x,loadss_tavg-u-hxy-u,False
loadss,area: time: mean,longitude latitude time,loadss_tavg-z0-hxy-x,loadss_tavg-u-hxy-u,False
loadsoa,area: time: mean,longitude latitude time,loadsoa_tavg-z0-hxy-x,loadsoa_tavg-u-hxy-u,False
loadso4,area: time: mean,longitude latitude time,loadso4_tavg-z0-hxy-x,loadso4_tavg-u-hxy-u,False
loadso4,area: time: mean,longitude latitude time,loadso4_tavg-z0-hxy-x,loadso4_tavg-u-hxy-u,False
prw,area: time: mean,longitude latitude time,prw_tavg-z0-hxy-x,prw_tavg-u-hxy-u,False
prw,area: mean time: point,longitude latitude time1,prw_tpt-z0-hxy-x,prw_tpt-u-hxy-u,False
prw,area: time: mean,longitude latitude time,prw_tavg-z0-hxy-x,prw_tavg-u-hxy-u,False
prw,area: time: mean,longitude latitude time,prw_tavg-z0-hxy-x,prw_tavg-u-hxy-u,False
prw,area: mean time: point,longitude latitude time1,prw_tpt-z0-hxy-x,prw_tpt-u-hxy-u,False
prw,area: point time: point,site time1,prw_tpt-z0-hxys-x,prw_tpt-u-hxys-u,False
airmass,area: time: mean,longitude latitude alevel time,airmass_tavg-l-hxy-x,airmass_tavg-l-hxy-u,False
co2mass,height: sum (through atmospheric column) area: sum time: mean, time,co2mass_tavg-z0-hm-x,co2mass_tavg-u-hm-u,False
co2mass,height: sum (through atmospheric column) area: sum time: mean within years time: mean over years, time2,co2mass_tcla-z0-hm-x,co2mass_tclm-u-hm-u,False
evu,area: time: mean,longitude latitude alevel time,evu_tavg-l-hxy-x,evu_tavg-l-hxy-u,False
evu,area: point time: point,alevel site time1,evu_tpt-l-hxys-x,evu_tpt-l-hxys-u,False
mc,area: time: mean,longitude latitude time,mc_tavg-z0-hxy-x,mc_tavg-u-hxy-u,False
mc,area: time: mean,longitude latitude alevhalf time,mc_tavg-l-hxy-x,mc_tavg-l-hxy-u,False
mc,area: time: mean,longitude latitude alevhalf time,mc_tavg-l-hxy-x,mc_tavg-l-hxy-u,False
mc,area: mean time: point,longitude latitude alevel time1,mc_tpt-l-hxy-x,mc_tpt-l-hxy-u,False
mc,area: point time: point,alevhalf site time1,mc_tpt-l-hxys-x,mc_tpt-l-hxys-u,False
dmc,area: time: mean,longitude latitude alevhalf time,dmc_tavg-l-hxy-x,dmc_tavg-l-hxy-u,False
smc,area: time: mean,longitude latitude alevhalf time,smc_tavg-l-hxy-x,smc_tavg-l-hxy-u,False
ygwdparam,area: time: mean,longitude latitude alevel time,ygwdparam_tavg-l-hxy-x,ygwdparam_tavg-l-hxy-u,False
ygwdparam,longitude: time: mean where air,latitude plev39 time,ygwdparam_tavg-p39-hy-air,ygwdparam_tavg-p39-hy-air,True
cldnvi,area: time: mean,longitude latitude time,cldnvi_tavg-z0-hxy-x,cldnvi_tavg-u-hxy-u,False
cldnvi,area: time: mean,longitude latitude time,cldnvi_tavg-z0-hxy-x,cldnvi_tavg-u-hxy-u,False
od440aer,area: time: mean,longitude latitude time lambda440nm,od440aer_tavg-z0-hxy-x,od440aer_tavg-u-hxy-u,False
od550aer,area: time: mean,longitude latitude time lambda550nm,od550aer_tavg-z0-hxy-x,od550aer_tavg-u-hxy-u,False
od550aer,area: time: mean,longitude latitude time lambda550nm,od550aer_tavg-z0-hxy-x,od550aer_tavg-u-hxy-u,False
od550csaer,area: time: mean,longitude latitude time lambda550nm,od550csaer_tavg-z0-hxy-x,od550csaer_tavg-u-hxy-u,False
od870aer,area: time: mean,longitude latitude time lambda870nm,od870aer_tavg-z0-hxy-x,od870aer_tavg-u-hxy-u,False
od550bc,area: time: mean,longitude latitude time lambda550nm,od550bc_tavg-z0-hxy-x,od550bc_tavg-u-hxy-u,False
cod,area: time: mean,longitude latitude time,cod_tavg-z0-hxy-x,cod_tavg-u-hxy-u,False
cod,area: time: mean,longitude latitude time,cod_tavg-z0-hxy-x,cod_tavg-u-hxy-u,False
dtauc,area: mean where convective_cloud time: point,longitude latitude alevel time1,dtauc_tpt-l-hxy-ccl,dtauc_tpt-l-hxy-ccl,True
dtauc,area: mean where convective_cloud time: point,longitude latitude time1,dtauc_tpt-z0-hxy-ccl,dtauc_tpt-u-hxy-ccl,False
od443dust,area: time: mean,longitude latitude time lambda443nm,od443dust_tavg-z0-hxy-x,od443dust_tavg-u-hxy-u,False
od550dust,area: time: mean,longitude latitude time lambda550nm,od550dust_tavg-z0-hxy-x,od550dust_tavg-u-hxy-u,False
od865dust,area: time: mean,longitude latitude time lambda865nm,od865dust_tavg-z0-hxy-x,od865dust_tavg-u-hxy-u,False
od550no3,area: time: mean,longitude latitude time lambda550nm,od550no3_tavg-z0-hxy-x,od550no3_tavg-u-hxy-u,False
od550bb,area: time: mean,longitude latitude time lambda550nm,od550bb_tavg-z0-hxy-x,od550bb_tavg-u-hxy-u,False
od550oa,area: time: mean,longitude latitude time lambda550nm,od550oa_tavg-z0-hxy-x,od550oa_tavg-u-hxy-u,False
od550soa,area: time: mean,longitude latitude time lambda550nm,od550soa_tavg-z0-hxy-x,od550soa_tavg-u-hxy-u,False
od550lt1aer,area: time: mean,longitude latitude time lambda550nm,od550lt1aer_tavg-z0-hxy-x,od550lt1aer_tavg-u-hxy-u,False
od550ss,area: time: mean,longitude latitude time lambda550nm,od550ss_tavg-z0-hxy-x,od550ss_tavg-u-hxy-u,False
dtaus,area: mean where stratiform_cloud time: point,longitude latitude alevel time1,dtaus_tpt-l-hxy-scl,dtaus_tpt-l-hxy-scl,True
dtaus,area: mean where stratiform_cloud time: point,longitude latitude time1,dtaus_tpt-z0-hxy-scl,dtaus_tpt-u-hxy-scl,False
od550so4,area: time: mean,longitude latitude time lambda550nm,od550so4_tavg-z0-hxy-x,od550so4_tavg-u-hxy-u,False
od550aerh2o,area: time: mean,longitude latitude time lambda550nm,od550aerh2o_tavg-z0-hxy-x,od550aerh2o_tavg-u-hxy-u,False
rv,area: time: mean where air,longitude latitude time p850,rv_tavg-p0850-hxy-air,rv_tavg-850hPa-hxy-air,False
rv,area: mean where air time: point,longitude latitude time1 p850,rv_tpt-p0850-hxy-air,rv_tpt-850hPa-hxy-air,False
rv,area: mean where air time: point,longitude latitude time1 p700,rv_tpt-p0700-hxy-air,rv_tpt-700hPa-hxy-air,False
psitem,longitude: time: mean where air,latitude plev39 time,psitem_tavg-p39-hy-air,psitem_tavg-p39-hy-air,True
mcu,area: time: mean,longitude latitude alevhalf time,mcu_tavg-l-hxy-x,mcu_tavg-l-hxy-u,False
siflcondbot,area: time: mean where sea_ice,longitude latitude time,siflcondbot_tavg-z0-hxy-si,siflcondbot_tavg-u-hxy-si,False
topg,area: mean where grounded_ice_sheet,longitude latitude,topg_ti-z0-hxy-gis,topg_ti-u-hxy-gis,False
topg,area: mean where grounded_ice_sheet,longitude latitude,topg_ti-z0-hxy-gis,topg_ti-u-hxy-gis,False
topg,area: time: mean where grounded_ice_sheet,longitude latitude time,topg_tavg-z0-hxy-gis,topg_tavg-u-hxy-gis,False
topg,area: time: mean where grounded_ice_sheet,longitude latitude time,topg_tavg-z0-hxy-gis,topg_tavg-u-hxy-gis,False
albc,area: time: mean where vegetation (weighted by downwelling shortwave radiation at the surface),longitude latitude time,albc_tavg-z0-hxy-veg,albc_tavg-u-hxy-veg,False
vegHeight,area: mean where vegetation,longitude latitude ,vegHeight_ti-z0-hxy-veg,vegHeight_ti-u-hxy-veg,False
vegHeight,area: time: mean where vegetation,longitude latitude time,vegHeight_tavg-z0-hxy-veg,vegHeight_tavg-u-hxy-veg,False
vegHeight,area: time: mean where crops,longitude latitude time,vegHeight_tavg-z0-hxy-crp,vegHeight_tavg-u-hxy-crp,False
vegHeight,area: time: mean where natural_grasses,longitude latitude time,vegHeight_tavg-z0-hxy-ng,vegHeight_tavg-u-hxy-ng,False
vegHeight,area: time: mean where pastures,longitude latitude time,vegHeight_tavg-z0-hxy-pst,vegHeight_tavg-u-hxy-pst,False
vegHeight,area: time: mean where shrubs,longitude latitude time,vegHeight_tavg-z0-hxy-shb,vegHeight_tavg-u-hxy-shb,False
vegHeight,area: time: mean where trees,longitude latitude time,vegHeight_tavg-z0-hxy-tree,vegHeight_tavg-u-hxy-tree,False
snwc,area: mean where land time: mean,longitude latitude time,snwc_tavg-z0-hxy-lnd,snwc_tavg-u-hxy-lnd,False
tcs,area: time: mean where vegetation,longitude latitude time,tcs_tavg-z0-hxy-veg,tcs_tavg-u-hxy-veg,False
cw,area: mean where land time: mean,longitude latitude time,cw_tavg-z0-hxy-lnd,cw_tavg-u-hxy-lnd,False
cProduct,area: mean where land time: mean,longitude latitude time,cProduct_tavg-z0-hxy-lnd,cProduct_tavg-u-hxy-lnd,False
cProduct,area: mean where land time: point,longitude latitude time1,cProduct_tpt-z0-hxy-lnd,cProduct_tpt-u-hxy-lnd,False
cProduct,area: mean where sector time: point,longitude latitude landUse time1,cProduct_tpt-z0-hxy-lus,cProduct_tpt-u-hxy-lus,False
