variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_spreadsheet,matching
fbddtalk,depth: sum where sea area: time: mean,longitude latitude time olayer100m,fbddtalk_tavg-z0100-hxy-sea,fbddtalk_tavg-z0100-hxy-sea,True
uqint,area: time: mean,longitude latitude time,uqint_tavg-z0-hxy-x,uqint_tavg-z0-hxy-x,True
vqint,area: time: mean,longitude latitude time,vqint_tavg-z0-hxy-x,vqint_tavg-z0-hxy-x,True
pod0,area: mean time: sum (with each sample weighted by the time-interval it represents) ,longitude latitude time,pod0_tsum-z0-hxy-x,pod0_tsum-z0-hxy-x,True
limfecalc,area: mean where sea time: mean,longitude latitude time,limfecalc_tavg-z0-hxy-sea,limfecalc_tavg-z0-hxy-sea,True
limfediat,area: mean where sea time: mean,longitude latitude time,limfediat_tavg-z0-hxy-sea,limfediat_tavg-z0-hxy-sea,True
limfediaz,area: mean where sea time: mean,longitude latitude time,limfediaz_tavg-z0-hxy-sea,limfediaz_tavg-z0-hxy-sea,True
limfemisc,area: mean where sea time: mean,longitude latitude time,limfemisc_tavg-z0-hxy-sea,limfemisc_tavg-z0-hxy-sea,True
limfepico,area: mean where sea time: mean,longitude latitude time,limfepico_tavg-z0-hxy-sea,limfepico_tavg-z0-hxy-sea,True
sw17O,area: mean where sea time: mean,longitude latitude olevel time,sw17O_tavg-l-hxy-sea,sw17O_tavg-l-hxy-sea,True
sw18O,area: mean where sea time: mean,longitude latitude olevel time,sw18O_tavg-l-hxy-sea,sw18O_tavg-l-hxy-sea,True
sw2H,area: mean where sea time: mean,longitude latitude olevel time,sw2H_tavg-l-hxy-sea,sw2H_tavg-l-hxy-sea,True
wap,area: mean where air time: point,longitude latitude plev27 time1,wap_tpt-p27-hxy-air,wap_tpt-p27-hxy-air,True
wap,area: mean where air time: point,longitude latitude plev3 time1,wap_tpt-p3-hxy-air,wap_tpt-p3-hxy-air,True
wap,area: mean where air time: point,longitude latitude plev7h time1,wap_tpt-p7h-hxy-air,wap_tpt-p7h-hxy-air,True
wap,area: time: mean where air,longitude latitude plev4 time,wap_tavg-p4-hxy-air,wap_tavg-p4-hxy-air,True
wap,area: time: mean,longitude latitude alevel time,wap_tavg-l-hxy-x,wap_tavg-l-hxy-x,True
wap,area: time: mean where air,longitude latitude time p500,wap_tavg-p0500-hxy-air,wap_tavg-p0500-hxy-air,True
wap,area: time: mean where air,longitude latitude plev19 time,wap_tavg-p19-hxy-air,wap_tavg-p19-hxy-air,True
wap,area: time: mean where air,longitude latitude plev8 time,wap_tavg-p8-hxy-air,wap_tavg-p8-hxy-air,True
wap,area: time: mean,longitude latitude alevel time,wap_tavg-l-hxy-x,wap_tavg-l-hxy-x,True
wap,area: time: mean where air,longitude latitude plev19 time,wap_tavg-p19-hxy-air,wap_tavg-p19-hxy-air,True
wap,area: mean time: point,longitude latitude alevel time1,wap_tpt-l-hxy-x,wap_tpt-l-hxy-x,True
wap,area: point time: point,alevel site time1,wap_tpt-l-hxys-x,wap_tpt-l-hxys-x,True
sftlf,area: mean,longitude latitude ,sftlf_ti-z0-hxy-x,sftlf_ti-z0-hxy-x,True
sftgif,area: mean,longitude latitude ,sftgif_ti-z0-hxy-x,sftgif_ti-z0-hxy-x,True
sftgif,area: time: mean,longitude latitude time,sftgif_tavg-z0-hxy-x,sftgif_tavg-z0-hxy-x,True
sftgif,area: time: mean,longitude latitude time,sftgif_tavg-z0-hxy-x,sftgif_tavg-z0-hxy-x,True
sftgif,area: time: mean,longitude latitude time,sftgif_tavg-z0-hxy-x,sftgif_tavg-z0-hxy-x,True
strbasemag,area: time: mean where ice_sheet,longitude latitude time,strbasemag_tavg-z0-hxy-is,strbasemag_tavg-z0-hxy-is,True
strbasemag,area: time: mean where ice_sheet,longitude latitude time,strbasemag_tavg-z0-hxy-is,strbasemag_tavg-z0-hxy-is,True
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-z0-hxy-fis,True
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-z0-hxy-fis,True
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-z0-hxy-fis,True
libmassbf,area: time: mean where floating_ice_shelf,longitude latitude time,libmassbf_tavg-z0-hxy-fis,libmassbf_tavg-z0-hxy-fis,True
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-z0-hxy-gis,True
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-z0-hxy-gis,True
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-z0-hxy-gis,True
libmassbf,area: time: mean where grounded_ice_sheet,longitude latitude time,libmassbf_tavg-z0-hxy-gis,libmassbf_tavg-z0-hxy-gis,True
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-z0-hxy-fis,True
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-z0-hxy-fis,True
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-z0-hxy-fis,True
litempbot,area: time: mean where floating_ice_shelf,longitude latitude time,litempbot_tavg-z0-hxy-fis,litempbot_tavg-z0-hxy-fis,True
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-z0-hxy-gis,True
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-z0-hxy-gis,True
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-z0-hxy-gis,True
litempbot,area: time: mean where grounded_ice_sheet,longitude latitude time,litempbot_tavg-z0-hxy-gis,litempbot_tavg-z0-hxy-gis,True
zvelbase,area: time: mean where ice_sheet,longitude latitude time,zvelbase_tavg-z0-hxy-is,zvelbase_tavg-z0-hxy-is,True
zvelbase,area: time: mean where ice_sheet,longitude latitude time,zvelbase_tavg-z0-hxy-is,zvelbase_tavg-z0-hxy-is,True
xvelbase,area: time: mean where ice_sheet,longitude latitude time,xvelbase_tavg-z0-hxy-is,xvelbase_tavg-z0-hxy-is,True
xvelbase,area: time: mean where ice_sheet,longitude latitude time,xvelbase_tavg-z0-hxy-is,xvelbase_tavg-z0-hxy-is,True
yvelbase,area: time: mean where ice_sheet,longitude latitude time,yvelbase_tavg-z0-hxy-is,yvelbase_tavg-z0-hxy-is,True
yvelbase,area: time: mean where ice_sheet,longitude latitude time,yvelbase_tavg-z0-hxy-is,yvelbase_tavg-z0-hxy-is,True
lim,area: sum where ice_sheet time: mean, time,lim_tavg-z0-hm-is,lim_tavg-z0-hm-is,True
lim,area: sum where ice_sheet time: mean, time,lim_tavg-z0-hm-is,lim_tavg-z0-hm-is,True
limnsw,area: sum where grounded_ice_sheet time: mean, time,limnsw_tavg-z0-hm-gis,limnsw_tavg-z0-hm-gis,True
limnsw,area: sum where grounded_ice_sheet time: mean, time,limnsw_tavg-z0-hm-gis,limnsw_tavg-z0-hm-gis,True
mrroLi,area: time: mean where ice_sheet,longitude latitude time,mrroLi_tavg-z0-hxy-is,mrroLi_tavg-z0-hxy-is,True
mrroLi,area: time: mean where ice_sheet,longitude latitude time,mrroLi_tavg-z0-hxy-is,mrroLi_tavg-z0-hxy-is,True
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-z0-hxy-is,True
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-z0-hxy-is,True
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-z0-hxy-is,True
licalvf,area: time: mean where ice_sheet,longitude latitude time,licalvf_tavg-z0-hxy-is,licalvf_tavg-z0-hxy-is,True
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-z0-hxy-is,True
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-z0-hxy-is,True
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-z0-hxy-is,True
lifmassbf,area: time: mean where ice_sheet,longitude latitude time,lifmassbf_tavg-z0-hxy-is,lifmassbf_tavg-z0-hxy-is,True
icem,area: time: mean where ice_sheet,longitude latitude time,icem_tavg-z0-hxy-is,icem_tavg-z0-hxy-is,True
icem,area: time: mean where ice_sheet,longitude latitude time,icem_tavg-z0-hxy-is,icem_tavg-z0-hxy-is,True
icem,area: time: mean where ice_sheet,longitude latitude time,icem_tavg-z0-hxy-is,icem_tavg-z0-hxy-is,True
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-z0-hxy-is,True
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-z0-hxy-is,True
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-z0-hxy-is,True
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-z0-hxy-is,True
acabf,area: time: mean where ice_sheet,longitude latitude time,acabf_tavg-z0-hxy-is,acabf_tavg-z0-hxy-is,True
zvelsurf,area: time: mean where ice_sheet,longitude latitude time,zvelsurf_tavg-z0-hxy-is,zvelsurf_tavg-z0-hxy-is,True
zvelsurf,area: time: mean where ice_sheet,longitude latitude time,zvelsurf_tavg-z0-hxy-is,zvelsurf_tavg-z0-hxy-is,True
xvelsurf,area: time: mean where ice_sheet,longitude latitude time,xvelsurf_tavg-z0-hxy-is,xvelsurf_tavg-z0-hxy-is,True
xvelsurf,area: time: mean where ice_sheet,longitude latitude time,xvelsurf_tavg-z0-hxy-is,xvelsurf_tavg-z0-hxy-is,True
yvelsurf,area: time: mean where ice_sheet,longitude latitude time,yvelsurf_tavg-z0-hxy-is,yvelsurf_tavg-z0-hxy-is,True
yvelsurf,area: time: mean where ice_sheet,longitude latitude time,yvelsurf_tavg-z0-hxy-is,yvelsurf_tavg-z0-hxy-is,True
lithk,area: mean where ice_sheet,longitude latitude,lithk_ti-z0-hxy-is,lithk_ti-z0-hxy-is,True
lithk,area: mean where ice_sheet,longitude latitude,lithk_ti-z0-hxy-is,lithk_ti-z0-hxy-is,True
lithk,area: time: mean where ice_sheet,longitude latitude time,lithk_tavg-z0-hxy-is,lithk_tavg-z0-hxy-is,True
lithk,area: time: mean where ice_sheet,longitude latitude time,lithk_tavg-z0-hxy-is,lithk_tavg-z0-hxy-is,True
xvelmean,area: time: mean where ice_sheet,longitude latitude time,xvelmean_tavg-z0-hxy-is,xvelmean_tavg-z0-hxy-is,True
xvelmean,area: time: mean where ice_sheet,longitude latitude time,xvelmean_tavg-z0-hxy-is,xvelmean_tavg-z0-hxy-is,True
yvelmean,area: time: mean where ice_sheet,longitude latitude time,yvelmean_tavg-z0-hxy-is,yvelmean_tavg-z0-hxy-is,True
yvelmean,area: time: mean where ice_sheet,longitude latitude time,yvelmean_tavg-z0-hxy-is,yvelmean_tavg-z0-hxy-is,True
sw,area: mean where land time: mean,longitude latitude time,sw_tavg-z0-hxy-lnd,sw_tavg-z0-hxy-lnd,True
mrtws,area: mean where land time: mean,longitude latitude time,mrtws_tavg-z0-hxy-lnd,mrtws_tavg-z0-hxy-lnd,True
mrtws,area: mean where land time: mean,longitude latitude time,mrtws_tavg-z0-hxy-lnd,mrtws_tavg-z0-hxy-lnd,True
lat,area: point,site ,lat_ti-z0-hxys-x,lat_ti-z0-hxys-x,True
lai,area: mean where land time: mean,longitude latitude time,lai_tavg-z0-hxy-lnd,lai_tavg-z0-hxy-lnd,True
lai,area: mean where land time: mean,longitude latitude time,lai_tavg-z0-hxy-lnd,lai_tavg-z0-hxy-lnd,True
lai,area: time: mean where sector,longitude latitude landUse time,lai_tavg-z0-hxy-lus,lai_tavg-z0-hxy-lus,True
cLeaf,area: mean where land time: mean,longitude latitude time,cLeaf_tavg-z0-hxy-lnd,cLeaf_tavg-z0-hxy-lnd,True
nLeaf,area: mean where land time: mean,longitude latitude time,nLeaf_tavg-z0-hxy-lnd,nLeaf_tavg-z0-hxy-lnd,True
clwmodis,area: time: mean,longitude latitude time,clwmodis_tavg-z0-hxy-x,clwmodis_tavg-z0-hxy-x,True
clcalipsoliq,area: time: mean where air,longitude latitude alt40 time,clcalipsoliq_tavg-h40-hxy-air,clcalipsoliq_tavg-h40-hxy-air,True
pflw,area: mean where land time: mean,longitude latitude time,pflw_tavg-z0-hxy-lnd,pflw_tavg-z0-hxy-lnd,True
pflw,area: mean where land time: mean,longitude latitude time,pflw_tavg-z0-hxy-lnd,pflw_tavg-z0-hxy-lnd,True
mrlso,area: mean where land time: mean,longitude latitude time,mrlso_tavg-z0-hxy-lnd,mrlso_tavg-z0-hxy-lnd,True
mrlsol,area: mean where land time: mean,longitude latitude sdepth time,mrlsol_tavg-l-hxy-lnd,mrlsol_tavg-l-hxy-lnd,True
mrlsol,area: mean where land time: mean,longitude latitude sdepth time,mrlsol_tavg-l-hxy-lnd,mrlsol_tavg-l-hxy-lnd,True
lwsnl,area: mean where land time: mean,longitude latitude time,lwsnl_tavg-z0-hxy-lnd,lwsnl_tavg-z0-hxy-lnd,True
lwsnl,area: mean where land time: mean,longitude latitude time,lwsnl_tavg-z0-hxy-lnd,lwsnl_tavg-z0-hxy-lnd,True
sisnmass,area: time: mean where sea_ice,longitude latitude time,sisnmass_tavg-z0-hxy-si,sisnmass_tavg-z0-hxy-si,True
snmsl,area: mean where land time: mean,longitude latitude time,snmsl_tavg-z0-hxy-lnd,snmsl_tavg-z0-hxy-lnd,True
c13Litter,area: mean where land time: mean,longitude latitude time,c13Litter_tavg-z0-hxy-lnd,c13Litter_tavg-z0-hxy-lnd,True
c14Litter,area: mean where land time: mean,longitude latitude time,c14Litter_tavg-z0-hxy-lnd,c14Litter_tavg-z0-hxy-lnd,True
cLitter,area: mean where land time: mean,longitude latitude time,cLitter_tavg-z0-hxy-lnd,cLitter_tavg-z0-hxy-lnd,True
cLitter,area: mean where land time: point,longitude latitude time1,cLitter_tpt-z0-hxy-lnd,cLitter_tpt-z0-hxy-lnd,True
cLitter,area: time: mean where natural_grasses over land,longitude latitude time,cLitter_tavg-z0-hxy-ng,cLitter_tavg-z0-hxy-ng,True
cLitter,time: point area: mean where sector over land,longitude latitude landUse time1,cLitter_tpt-z0-hxy-lus,cLitter_tpt-z0-hxy-lus,True
cLitter,area: time: mean where shrubs time,longitude latitude time,cLitter_tavg-z0-hxy-shb,cLitter_tavg-z0-hxy-shb,True
cLitter,area: time: mean where trees,longitude latitude time,cLitter_tavg-z0-hxy-tree,cLitter_tavg-z0-hxy-tree,True
nLitter,area: mean where land time: mean,longitude latitude time,nLitter_tavg-z0-hxy-lnd,nLitter_tavg-z0-hxy-lnd,True
lon,area: point,site ,lon_ti-z0-hxys-x,lon_ti-z0-hxys-x,True
ugrido,,longitude latitude ,ugrido_ti-z0-hxy-x,ugrido_ti-z0-hxy-x,True
snlwe,area: time: mean where sector,longitude latitude landUse time,snlwe_tavg-z0-hxy-lus,snlwe_tavg-z0-hxy-lus,True
tau,area: mean where land time: mean,longitude latitude time,tau_tavg-z0-hxy-lnd,tau_tavg-z0-hxy-lnd,True
chlcalc,area: mean where sea time: mean,longitude latitude olevel time,chlcalc_tavg-l-hxy-sea,chlcalc_tavg-l-hxy-sea,True
chlcalc,area: mean where sea time: mean,longitude latitude olevel time,chlcalc_tavg-l-hxy-sea,chlcalc_tavg-l-hxy-sea,True
chlcalc,area: mean where sea time: mean,longitude latitude time depth0m,chlcalc_tavg-z00-hxy-sea,chlcalc_tavg-z00-hxy-sea,True
chldiat,area: mean where sea time: mean,longitude latitude olevel time,chldiat_tavg-l-hxy-sea,chldiat_tavg-l-hxy-sea,True
chldiat,area: mean where sea time: mean,longitude latitude olevel time,chldiat_tavg-l-hxy-sea,chldiat_tavg-l-hxy-sea,True
chldiat,area: mean where sea time: mean,longitude latitude time depth0m,chldiat_tavg-z00-hxy-sea,chldiat_tavg-z00-hxy-sea,True
chldiaz,area: mean where sea time: mean,longitude latitude olevel time,chldiaz_tavg-l-hxy-sea,chldiaz_tavg-l-hxy-sea,True
chldiaz,area: mean where sea time: mean,longitude latitude olevel time,chldiaz_tavg-l-hxy-sea,chldiaz_tavg-l-hxy-sea,True
chldiaz,area: mean where sea time: mean,longitude latitude time depth0m,chldiaz_tavg-z00-hxy-sea,chldiaz_tavg-z00-hxy-sea,True
concdust,area: time: mean,longitude latitude alevel time,concdust_tavg-l-hxy-x,concdust_tavg-l-hxy-x,True
concdust,area: time: mean,longitude latitude time depth0m,concdust_tavg-z00-hxy-x,concdust_tavg-z00-hxy-x,True
chlmisc,area: mean where sea time: mean,longitude latitude olevel time,chlmisc_tavg-l-hxy-sea,chlmisc_tavg-l-hxy-sea,True
chlmisc,area: mean where sea time: mean,longitude latitude olevel time,chlmisc_tavg-l-hxy-sea,chlmisc_tavg-l-hxy-sea,True
chlmisc,area: mean where sea time: mean,longitude latitude time depth0m,chlmisc_tavg-z00-hxy-sea,chlmisc_tavg-z00-hxy-sea,True
chl,area: mean where sea time: mean,longitude latitude olevel time,chl_tavg-l-hxy-sea,chl_tavg-l-hxy-sea,True
chl,area: mean where sea time: mean,longitude latitude olevel time,chl_tavg-l-hxy-sea,chl_tavg-l-hxy-sea,True
chl,area: mean where sea time: mean,longitude latitude time depth0m,chl_tavg-z00-hxy-sea,chl_tavg-z00-hxy-sea,True
chl,area: mean where sea time: mean,longitude latitude time depth0m,chl_tavg-z00-hxy-sea,chl_tavg-z00-hxy-sea,True
chlpico,area: mean where sea time: mean,longitude latitude olevel time,chlpico_tavg-l-hxy-sea,chlpico_tavg-l-hxy-sea,True
chlpico,area: mean where sea time: mean,longitude latitude olevel time,chlpico_tavg-l-hxy-sea,chlpico_tavg-l-hxy-sea,True
chlpico,area: mean where sea time: mean,longitude latitude time depth0m,chlpico_tavg-z00-hxy-sea,chlpico_tavg-z00-hxy-sea,True
sconcss,area: time: mean,longitude latitude time,sconcss_tavg-z0-hxy-x,sconcss_tavg-z0-hxy-x,True
sconcso4,area: time: mean,longitude latitude time,sconcso4_tavg-z0-hxy-x,sconcso4_tavg-z0-hxy-x,True
c13Land,area: mean where land time: mean,longitude latitude time,c13Land_tavg-z0-hxy-lnd,c13Land_tavg-z0-hxy-lnd,True
c14Land,area: mean where land time: mean,longitude latitude time,c14Land_tavg-z0-hxy-lnd,c14Land_tavg-z0-hxy-lnd,True
cLand,area: mean where land time: mean,longitude latitude time,cLand_tavg-z0-hxy-lnd,cLand_tavg-z0-hxy-lnd,True
nLand,area: mean where land time: mean,longitude latitude time,nLand_tavg-z0-hxy-lnd,nLand_tavg-z0-hxy-lnd,True
mrso,area: mean where land time: mean,longitude latitude time,mrso_tavg-z0-hxy-lnd,mrso_tavg-z0-hxy-lnd,True
mrso,area: mean where land time: mean,longitude latitude time,mrso_tavg-z0-hxy-lnd,mrso_tavg-z0-hxy-lnd,True
mrso,area: time: mean where sector,longitude latitude landUse time,mrso_tavg-z0-hxy-lus,mrso_tavg-z0-hxy-lus,True
mrsol,area: mean where land time: point,longitude latitude sdepth time1,mrsol_tpt-l-hxy-lnd,mrsol_tpt-l-hxy-lnd,True
mrsol,area: mean where land time: mean,longitude latitude sdepth time,mrsol_tavg-l-hxy-lnd,mrsol_tavg-l-hxy-lnd,True
mrsol,area: mean where land time: mean,longitude latitude sdepth time,mrsol_tavg-l-hxy-lnd,mrsol_tavg-l-hxy-lnd,True
mrsol,area: mean where land time: point,longitude latitude time1 sdepth1,mrsol_tpt-z0p1-hxy-lnd,mrsol_tpt-z0p1-hxy-lnd,True
mrsol,area: mean where land time: point,longitude latitude time1 sdepth1,mrsol_tpt-z0p1-hxy-lnd,mrsol_tpt-z0p1-hxy-lnd,True
mrsol,area: mean where land time: mean,longitude latitude time sdepth1,mrsol_tavg-z0p1-hxy-lnd,mrsol_tavg-z0p1-hxy-lnd,True
mrsol,area: mean where land time: mean,longitude latitude time sdepth1,mrsol_tavg-z0p1-hxy-lnd,mrsol_tavg-z0p1-hxy-lnd,True
mrsol,area: time: mean where sector,longitude latitude landUse time sdepth1,mrsol_tavg-z0p1-hxy-lus,mrsol_tavg-z0p1-hxy-lus,True
rzwc,area: mean where land time: mean,longitude latitude time,rzwc_tavg-z0-hxy-lnd,rzwc_tavg-z0-hxy-lnd,True
prw17O,area: time: mean,longitude latitude alevel time,prw17O_tavg-l-hxy-x,prw17O_tavg-l-hxy-x,True
prw18O,area: time: mean,longitude latitude alevel time,prw18O_tavg-l-hxy-x,prw18O_tavg-l-hxy-x,True
prw2H,area: time: mean,longitude latitude alevel time,prw2H_tavg-l-hxy-x,prw2H_tavg-l-hxy-x,True
fHarvestToProduct,area: mean where land time: mean,longitude latitude time,fHarvestToProduct_tavg-z0-hxy-lnd,fHarvestToProduct_tavg-z0-hxy-lnd,True
fVegLitter,area: mean where land time: mean,longitude latitude time,fVegLitter_tavg-z0-hxy-lnd,fVegLitter_tavg-z0-hxy-lnd,True
fVegLitterMortality,area: mean where land time: mean,longitude latitude time,fVegLitterMortality_tavg-z0-hxy-lnd,fVegLitterMortality_tavg-z0-hxy-lnd,True
fVegLitterSenescence,area: mean where land time: mean,longitude latitude time,fVegLitterSenescence_tavg-z0-hxy-lnd,fVegLitterSenescence_tavg-z0-hxy-lnd,True
fCLandToOcean,area: mean where land time: mean,longitude latitude time,fCLandToOcean_tavg-z0-hxy-lnd,fCLandToOcean_tavg-z0-hxy-lnd,True
fVegSoilMortality,area: mean where land time: mean,longitude latitude time,fVegSoilMortality_tavg-z0-hxy-lnd,fVegSoilMortality_tavg-z0-hxy-lnd,True
fVegSoilSenescence,area: mean where land time: mean,longitude latitude time,fVegSoilSenescence_tavg-z0-hxy-lnd,fVegSoilSenescence_tavg-z0-hxy-lnd,True
fNleach,area: mean where land time: mean,longitude latitude time,fNleach_tavg-z0-hxy-lnd,fNleach_tavg-z0-hxy-lnd,True
fNLandToOcean,area: mean where land time: mean,longitude latitude time,fNLandToOcean_tavg-z0-hxy-lnd,fNLandToOcean_tavg-z0-hxy-lnd,True
fNnetmin,area: mean where land time: mean,longitude latitude time,fNnetmin_tavg-z0-hxy-lnd,fNnetmin_tavg-z0-hxy-lnd,True
mmrnh4,area: time: mean,longitude latitude alevel time,mmrnh4_tavg-l-hxy-x,mmrnh4_tavg-l-hxy-x,True
co23D,area: time: mean,longitude latitude alevel time,co23D_tavg-l-hxy-x,co23D_tavg-l-hxy-x,True
cli,area: time: mean,longitude latitude alevel time,cli_tavg-l-hxy-x,cli_tavg-l-hxy-x,True
cli,area: time: mean,longitude latitude alevel time,cli_tavg-l-hxy-x,cli_tavg-l-hxy-x,True
cli,area: point time: point,alevel site time1,cli_tpt-l-hxys-x,cli_tpt-l-hxys-x,True
clw,area: time: mean,longitude latitude alevel time,clw_tavg-l-hxy-x,clw_tavg-l-hxy-x,True
clw,area: time: mean,longitude latitude alevel time,clw_tavg-l-hxy-x,clw_tavg-l-hxy-x,True
clw,area: point time: point,alevel site time1,clw_tpt-l-hxys-x,clw_tpt-l-hxys-x,True
clic,area: mean time: point,longitude latitude alevel time1,clic_tpt-l-hxy-x,clic_tpt-l-hxy-x,True
clic,area: time: mean,longitude latitude alevel time,clic_tavg-l-hxy-x,clic_tavg-l-hxy-x,True
clwc,area: mean time: point,longitude latitude alevel time1,clwc_tpt-l-hxy-x,clwc_tpt-l-hxy-x,True
clwc,area: time: mean,longitude latitude alevel time,clwc_tavg-l-hxy-x,clwc_tavg-l-hxy-x,True
mmrdust,area: time: mean,longitude latitude alevel time,mmrdust_tavg-l-hxy-x,mmrdust_tavg-l-hxy-x,True
mmrbc,area: time: mean,longitude latitude alevel time,mmrbc_tavg-l-hxy-x,mmrbc_tavg-l-hxy-x,True
mrfsofr,area: mean where land time: mean,longitude latitude sdepth time,mrfsofr_tavg-l-hxy-lnd,mrfsofr_tavg-l-hxy-lnd,True
grplmxrat,area: mean where air time: point,longitude latitude plev27 time1,grplmxrat_tpt-p27-hxy-air,grplmxrat_tpt-p27-hxy-air,True
grplmxrat,area: time: mean where air,longitude latitude plev27 time,grplmxrat_tavg-p27-hxy-air,grplmxrat_tavg-p27-hxy-air,True
rainmxrat,area: mean where air time: point,longitude latitude plev27 time1,rainmxrat_tpt-p27-hxy-air,rainmxrat_tpt-p27-hxy-air,True
rainmxrat,area: time: mean where air,longitude latitude plev27 time,rainmxrat_tavg-p27-hxy-air,rainmxrat_tavg-p27-hxy-air,True
mmrno3,area: time: mean,longitude latitude alevel time,mmrno3_tavg-l-hxy-x,mmrno3_tavg-l-hxy-x,True
mmrno3,area: time: mean,longitude latitude time,mmrno3_tavg-z0-hxy-x,mmrno3_tavg-z0-hxy-x,True
mmroa,area: time: mean,longitude latitude alevel time,mmroa_tavg-l-hxy-x,mmroa_tavg-l-hxy-x,True
mmrpm1,area: time: mean,longitude latitude alevel time,mmrpm1_tavg-l-hxy-x,mmrpm1_tavg-l-hxy-x,True
mmrpm10,area: time: mean,longitude latitude alevel time,mmrpm10_tavg-l-hxy-x,mmrpm10_tavg-l-hxy-x,True
sfpm25,area: time: mean,longitude latitude time,sfpm25_tavg-z0-hxy-x,sfpm25_tavg-z0-hxy-x,True
mmrpm2p5,area: time: mean,longitude latitude alevel time,mmrpm2p5_tavg-l-hxy-x,mmrpm2p5_tavg-l-hxy-x,True
prrsn,area: mean where land time: mean,longitude latitude time,prrsn_tavg-z0-hxy-lnd,prrsn_tavg-z0-hxy-lnd,True
mmrss,area: time: mean,longitude latitude alevel time,mmrss_tavg-l-hxy-x,mmrss_tavg-l-hxy-x,True
mmrsoa,area: time: mean,longitude latitude alevel time,mmrsoa_tavg-l-hxy-x,mmrsoa_tavg-l-hxy-x,True
snowmxrat,area: mean where air time: point,longitude latitude plev27 time1,snowmxrat_tpt-p27-hxy-air,snowmxrat_tpt-p27-hxy-air,True
snowmxrat,area: time: mean where air,longitude latitude plev27 time,snowmxrat_tavg-p27-hxy-air,snowmxrat_tavg-p27-hxy-air,True
prsnsn,area: mean where land time: mean,longitude latitude time,prsnsn_tavg-z0-hxy-lnd,prsnsn_tavg-z0-hxy-lnd,True
clis,area: mean time: point,longitude latitude alevel time1,clis_tpt-l-hxy-x,clis_tpt-l-hxy-x,True
clis,area: time: mean,longitude latitude alevel time,clis_tavg-l-hxy-x,clis_tavg-l-hxy-x,True
clws,area: mean time: point,longitude latitude alevel time1,clws_tpt-l-hxy-x,clws_tpt-l-hxy-x,True
clws,area: time: mean,longitude latitude alevel time,clws_tavg-l-hxy-x,clws_tavg-l-hxy-x,True
mmrso4,area: time: mean,longitude latitude alevel time,mmrso4_tavg-l-hxy-x,mmrso4_tavg-l-hxy-x,True
mrlqso,area: mean where land time: mean,longitude latitude sdepth time,mrlqso_tavg-l-hxy-lnd,mrlqso_tavg-l-hxy-lnd,True
h2o,area: mean time: point,longitude latitude alevel time1,h2o_tpt-l-hxy-x,h2o_tpt-l-hxy-x,True
h2o,area: time: mean,longitude latitude alevel time,h2o_tavg-l-hxy-x,h2o_tavg-l-hxy-x,True
